00, 13.6
01, 10.04
02, 12.18
03, 10.86
04, 12.58
05, 14.84
06, 19.94
07, 33.86
08, 43.21
09, 53.94
10, 60.1
11, 70.37
12, 66.61
13, 66.39
14, 55.39
15, 55.83
16, 62.89
17, 70.85
18, 77.39
19, 78.71
20, 71.83
21, 60.73
22, 32.61
23, 24.93
00, 14.72
01, 11.19
02, 11.07
03, 10.21
04, 13.29
05, 10.18
06, 18.4
07, 30.2
08, 43.96
09, 54.11
10, 62.25
11, 74.72
12, 67.57
13, 66.32
14, 55.08
15, 59.83
16, 61.11
17, 72.16
18, 79.56
19, 77.66
20, 70.39
21, 62.54
22, 31.84
23, 23.48
00, 13.92
01, 11.54
02, 14.28
03, 10.58
04, 13.54
05, 13.81
06, 19.21
07, 35.09
08, 38.14
09, 51.77
10, 62.28
11, 74.18
12, 67.15
13, 67.3
14, 55.35
15, 59.48
16, 61.87
17, 72.92
18, 75.86
19, 78.22
20, 71.92
21, 63.37
22, 30.94
23, 24.11
00, 11.35
01, 10.15
02, 13.76
03, 12.83
04, 12.32
05, 12.77
06, 18.69
07, 35.67
08, 39.18
09, 53.88
10, 62.3
11, 73.49
12, 67.5
13, 67.65
14, 55.81
15, 57.57
16, 63.07
17, 74.98
18, 75.63
19, 76.63
20, 71.75
21, 61.16
22, 33.18
23, 22.31
00, 13.79
01, 14.87
02, 10.87
03, 10.55
04, 13.85
05, 10.66
06, 15.15
07, 34.17
08, 42.41
09, 52.36
10, 63.95
11, 72.14
12, 69.56
13, 69.36
14, 59.25
15, 56.75
16, 62.84
17, 73.73
18, 75.07
19, 79.17
20, 74.47
21, 61.12
22, 33.24
23, 20.76
00, 10.37
01, 10.21
02, 14.05
03, 14.28
04, 12.72
05, 12.46
06, 19.21
07, 36.4
08, 36.42
09, 53.58
10, 64.33
11, 71.87
12, 68.85
13, 68.22
14, 55.62
15, 57.74
16, 62.29
17, 71.02
18, 76.79
19, 76.14
20, 74.72
21, 62.9
22, 30.49
23, 24.92
00, 14.56
01, 14.62
02, 14.08
03, 10.66
04, 13.31
05, 11.31
06, 19.6
07, 35.03
08, 41.82
09, 54.69
10, 60.23
11, 72.36
12, 69.41
13, 65.96
14, 56.75
15, 55.31
16, 61.4
17, 73.17
18, 79.87
19, 76.14
20, 73.66
21, 64.06
22, 34.48
23, 22.18
00, 13.22
01, 11.72
02, 11.29
03, 14.84
04, 10.55
05, 14.61
06, 17.07
07, 30.2
08, 37.98
09, 53.75
10, 60.2
11, 73.5
12, 66.39
13, 65.35
14, 57.42
15, 59.26
16, 63.38
17, 72.31
18, 78.32
19, 77.4
20, 74.07
21, 60.51
22, 31.57
23, 21.16
00, 13.6
01, 13.71
02, 11.8
03, 12.56
04, 10.28
05, 11.66
06, 17.41
07, 36.57
08, 37.54
09, 52.86
10, 60.5
11, 72.63
12, 65.71
13, 65.77
14, 55.93
15, 57.14
16, 60.2
17, 71.37
18, 77.95
19, 79.7
20, 74.62
21, 60.26
22, 34.25
23, 24.24
00, 12.2
01, 12.17
02, 11.75
03, 13.88
04, 12.11
05, 10.53
06, 15.85
07, 36.37
08, 39.38
09, 51.63
10, 60.8
11, 73.49
12, 69.74
13, 65.25
14, 55.26
15, 57.42
16, 60.27
17, 71.69
18, 76.12
19, 76.43
20, 73.59
21, 61.32
22, 33.88
23, 23.39
00, 11.29
01, 13.07
02, 11.75
03, 10.34
04, 10.16
05, 11.97
06, 18.09
07, 34.96
08, 42.67
09, 50.65
10, 62.21
11, 70.17
12, 66.02
13, 69.79
14, 58.19
15, 59.31
16, 62.76
17, 73.23
18, 78.44
19, 78.84
20, 73.51
21, 63.14
22, 32.13
23, 22.56
00, 13.75
01, 11.57
02, 11.98
03, 14.03
04, 10.46
05, 14.4
06, 17.19
07, 34.5
08, 43.37
09, 50.8
10, 64.08
11, 73.3
12, 67.06
13, 69.17
14, 58.42
15, 56.26
16, 64.84
17, 72.98
18, 78.84
19, 75.68
20, 72.72
21, 62.48
22, 31.74
23, 21.86
00, 13.32
01, 13.92
02, 14.97
03, 11.34
04, 11.32
05, 12.81
06, 16.63
07, 32.14
08, 35.98
09, 54.64
10, 64.73
11, 71.03
12, 67.02
13, 68.41
14, 57.45
15, 55.59
